FBgn,Mean_Accesibility
FBgn0031081,0.9265
FBgn0052826,2.56375
FBgn0031085,1.7015
FBgn0062565,2.048
FBgn0031088,0.74075
FBgn0053217,3.53125
FBgn0040372,2.5985
FBgn0000316,0.769
FBgn0024989,2.125
FBgn0040371,0.408
FBgn0029521,0.525
FBgn0004034,0.375
FBgn0000022,0.4625
FBgn0004170,0.3275
FBgn0002561,0.5165
FBgn0000137,0.62125
FBgn0029522,3.721
FBgn0052817,4.5915
FBgn0029524,8.1795
FBgn0023536,5.009
FBgn0023534,2.024
FBgn0023535,6.90125
FBgn0000108,3.2725
FBgn0025640,2.891
FBgn0025635,1.4795
FBgn0001341,2.22325
FBgn0003575,5.27
FBgn0025634,2.27775
FBgn0025638,1.3925
FBgn0040383,0.26175
FBgn0040382,3.2245
FBgn0027343,1.46125
FBgn0025621,1.53225
FBgn0029535,0.8865
FBgn0040892,1.154
FBgn0040341,0.5875
FBgn0029539,0.6385
FBgn0040339,2.5845
FBgn0052815,1.0415
FBgn0040340,3.977
FBgn0040347,1.9125
FBgn0042146,0.6625
FBgn0029552,0.475
FBgn0040337,1.95
FBgn0040398,4.90625
FBgn0040365,0.5485
FBgn0040364,1.1265
FBgn0040362,0.70125
FBgn0040361,0.635
FBgn0040360,0.654
FBgn0040359,0.45
FBgn0040358,0.776
FBgn0029568,0.7875
FBgn0040357,0.98425
FBgn0040367,0.62
FBgn0025642,2.9725
FBgn0004650,1.3185
FBgn0024362,1.4595
FBgn0024361,0.8735
FBgn0024364,1.7345
FBgn0029573,1.06225
FBgn0024987,2.7125
FBgn0023169,0.7395
FBgn0052813,1.684
FBgn0024985,1.274
FBgn0026872,8.6955
FBgn0029580,8.49375
FBgn0025383,2.928
FBgn0025381,13.4055
FBgn0025394,6.607
FBgn0000482,2.563
FBgn0001189,5.94
FBgn0029587,1.387
FBgn0024897,1.8495
FBgn0052806,2.15
FBgn0026873,2.63525
FBgn0023513,3.78
FBgn0014411,5.372
FBgn0023514,3.41675
FBgn0029594,9.2125
FBgn0023519,4.603
FBgn0023509,5.19025
FBgn0023510,4.215
FBgn0023508,4.522
FBgn0023522,4.87525
FBgn0023521,3.5395
FBgn0025627,2.184
FBgn0025630,12.5545
FBgn0025624,6.8745
FBgn0040395,3.465
FBgn0000382,5.8125
FBgn0023507,9.01675
FBgn0004654,3.96
FBgn0023540,2.914
FBgn0025839,2.474
FBgn0011576,0.7655
FBgn0015036,2.30175
FBgn0003116,1.9695
FBgn0040899,2.85
FBgn0040900,1.17
FBgn0024984,1.435
FBgn0023549,1.428
FBgn0029606,1.756
FBgn0003048,3.0195
FBgn0000810,2.4345
FBgn0023523,1.506
FBgn0023527,3.40325
FBgn0040391,1.5805
FBgn0053218,2.16125
FBgn0003079,9.1135
FBgn0040376,1.2725
FBgn0040066,3.12
FBgn0001404,8.56775
FBgn0040336,6.0505
FBgn0003371,4.101
FBgn0003068,2.93
FBgn0024993,3.21225
FBgn0024996,3.07575
FBgn0024997,1.685
FBgn0024991,3.20925
FBgn0000928,4.5615
FBgn0000927,4.195
FBgn0000520,5.9355
FBgn0024975,7
FBgn0040356,1.38325
FBgn0004647,7.9675
FBgn0040396,5.6105
FBgn0000479,4.23
FBgn0002933,0.672
FBgn0003374,1.06125
FBgn0029660,1.0915
FBgn0040355,1.6125
FBgn0052793,1.0905
FBgn0029642,1.09425
FBgn0025645,1.0355
FBgn0029643,0.9125
FBgn0029644,0.921
FBgn0029645,1.477
FBgn0029646,1.39925
FBgn0029647,3.9085
FBgn0029648,4.834
FBgn0028369,7.338
FBgn0029664,3.61125
FBgn0029666,3.6
FBgn0029669,1.284
FBgn0052792,1.7845
FBgn0044046,1.79475
FBgn0023215,9.03725
FBgn0052785,1.93675
FBgn0025118,3.3985
FBgn0028491,14.84175
FBgn0029681,1.723
FBgn0029686,4.38275
FBgn0052786,2.6675
FBgn0052783,2.3985
FBgn0029687,7.075
FBgn0029694,2.7615
FBgn0000221,3.489
FBgn0026084,6.1405
FBgn0026085,3.163
FBgn0026083,6.2075
FBgn0066114,3.9485
FBgn0029697,1.925
FBgn0029701,1.47725
FBgn0029702,1.188
FBgn0029706,1.91725
FBgn0029707,1.552
FBgn0000179,2.139
FBgn0029708,1.972
FBgn0029709,4.6315
FBgn0029710,1.675
FBgn0029712,2.5425
FBgn0029714,3.97025
FBgn0029716,1.3125
FBgn0011760,4.85
