FBgn,state.name
FBgn0052826,5
FBgn0031085,8
FBgn0062565,9
FBgn0031088,8
FBgn0041626,9
FBgn0040784,8
FBgn0031086,9
FBgn0031082,8
FBgn0053217,7
FBgn0052350,1
FBgn0024733,1
FBgn0040372,5
FBgn0000316,5
FBgn0024989,4
FBgn0040371,9
FBgn0029521,4
FBgn0004034,3
FBgn0000022,9
FBgn0004170,9
FBgn0002561,9
FBgn0000137,8
FBgn0029522,1
FBgn0052817,1
FBgn0029524,1
FBgn0023536,5
FBgn0023534,5
FBgn0023535,5
FBgn0023537,5
FBgn0029525,5
FBgn0029523,1
FBgn0010019,5
FBgn0011822,9
FBgn0052816,9
FBgn0040370,9
FBgn0040373,1
FBgn0000108,6
FBgn0025640,1
FBgn0025635,1
FBgn0001341,5
FBgn0003575,5
FBgn0025634,1
FBgn0025638,1
FBgn0040383,5
FBgn0040382,1
FBgn0027343,9
FBgn0025621,1
FBgn0029535,9
FBgn0026874,5
FBgn0025616,1
FBgn0015799,5
FBgn0025620,9
FBgn0015288,1
FBgn0029532,5
FBgn0029531,5
FBgn0025639,5
FBgn0002579,1
FBgn0026879,1
FBgn0029529,1
FBgn0025633,5
FBgn0040892,9
FBgn0040341,9
FBgn0029539,5
FBgn0040339,1
FBgn0052815,5
FBgn0040340,1
FBgn0040347,5
FBgn0042146,9
FBgn0029552,9
FBgn0040337,1
FBgn0040398,1
FBgn0040365,9
FBgn0040397,9
FBgn0026143,5
FBgn0040351,9
FBgn0040338,9
FBgn0040350,9
FBgn0040349,9
FBgn0040348,5
FBgn0040346,1
FBgn0040342,5
FBgn0040345,5
FBgn0040343,5
FBgn0052814,9
FBgn0040364,5
FBgn0040362,9
FBgn0040361,9
FBgn0040360,9
FBgn0040359,9
FBgn0040358,5
FBgn0029568,5
FBgn0040357,5
FBgn0040367,5
FBgn0025642,1
FBgn0004650,5
FBgn0024362,1
FBgn0024361,5
FBgn0024364,1
FBgn0029573,5
FBgn0024987,5
FBgn0023169,5
FBgn0052813,5
FBgn0024985,5
FBgn0027794,5
FBgn0024986,1
FBgn0000826,1
FBgn0024365,5
FBgn0024360,5
FBgn0024366,9
FBgn0025641,5
FBgn0052811,5
FBgn0028550,5
FBgn0026876,1
FBgn0040366,5
FBgn0040363,9
FBgn0040368,9
FBgn0026872,1
FBgn0029580,5
FBgn0025383,5
FBgn0025381,1
FBgn0025394,5
FBgn0000482,1
FBgn0001189,5
FBgn0029587,5
FBgn0024897,5
FBgn0025391,9
FBgn0025378,9
FBgn0023130,1
FBgn0023530,1
FBgn0025390,5
FBgn0025393,9
FBgn0003517,1
FBgn0044508,1
FBgn0025382,5
FBgn0052808,5
FBgn0027791,1
FBgn0027793,1
FBgn0052806,5
FBgn0026873,1
FBgn0023513,5
FBgn0014411,1
FBgn0023514,1
FBgn0029594,1
FBgn0023519,1
FBgn0023509,5
FBgn0023510,5
FBgn0023508,5
FBgn0023522,5
FBgn0023521,1
FBgn0025627,5
FBgn0025630,1
FBgn0025629,1
FBgn0025628,5
FBgn0029596,1
FBgn0025626,1
FBgn0025625,5
FBgn0025631,5
FBgn0026878,5
FBgn0000667,5
FBgn0003964,1
FBgn0023545,1
FBgn0023520,1
FBgn0023512,1
FBgn0023511,1
FBgn0052801,5
FBgn0023518,5
FBgn0026088,1
FBgn0026089,1
FBgn0023517,1
FBgn0023516,1
FBgn0023515,1
FBgn0028969,1
FBgn0026090,1
FBgn0029590,5
FBgn0025624,1
FBgn0040395,3
FBgn0000382,5
FBgn0023507,5
FBgn0004654,1
FBgn0023540,5
FBgn0025839,1
FBgn0011576,5
FBgn0015036,1
FBgn0003116,5
FBgn0040899,1
FBgn0040900,5
FBgn0024984,5
FBgn0023549,5
FBgn0029606,5
FBgn0003048,5
FBgn0000810,1
FBgn0023523,5
FBgn0023527,1
FBgn0040391,5
FBgn0053218,5
FBgn0003079,4
FBgn0003159,5
FBgn0040389,1
FBgn0044047,3
FBgn0040392,5
FBgn0023526,5
FBgn0023529,5
FBgn0023528,5
FBgn0027296,5
FBgn0023524,5
FBgn0023525,5
FBgn0000377,1
FBgn0001330,5
FBgn0004397,5
FBgn0023550,5
FBgn0029603,5
FBgn0023542,1
FBgn0023541,5
FBgn0005670,5
FBgn0004655,5
FBgn0013432,1
FBgn0004861,5
FBgn0004860,5
FBgn0040394,1
FBgn0040376,5
FBgn0040066,1
FBgn0001404,3
FBgn0040336,5
FBgn0040333,5
FBgn0040334,1
FBgn0029629,1
FBgn0011566,5
FBgn0011606,5
FBgn0040375,1
FBgn0040377,5
FBgn0040388,5
FBgn0003714,1
FBgn0001150,5
FBgn0052797,5
FBgn0040385,9
FBgn0003371,3
FBgn0003068,5
FBgn0024993,5
FBgn0024996,1
FBgn0024997,1
FBgn0024991,1
FBgn0000928,5
FBgn0000927,5
FBgn0000520,1
FBgn0024975,1
FBgn0040356,9
FBgn0003996,5
FBgn0040384,3
FBgn0024980,5
FBgn0000376,5
FBgn0024973,1
FBgn0024998,5
FBgn0024995,5
FBgn0024994,1
FBgn0024992,5
FBgn0000092,5
FBgn0025838,5
FBgn0011276,5
FBgn0004647,3
FBgn0040396,1
FBgn0000479,9
FBgn0002933,9
FBgn0003374,9
FBgn0029660,4
FBgn0029662,4
FBgn0029661,4
FBgn0029659,4
FBgn0029658,3
FBgn0052493,4
FBgn0029657,4
FBgn0029656,4
FBgn0003086,9
FBgn0010296,9
FBgn0010295,9
FBgn0010294,9
FBgn0040393,9
FBgn0000644,9
FBgn0028746,1
FBgn0040355,9
FBgn0052793,9
FBgn0029642,9
FBgn0025645,9
FBgn0029643,9
FBgn0029644,9
FBgn0029645,6
FBgn0029646,9
FBgn0029647,9
FBgn0029648,5
FBgn0028369,9
FBgn0029649,9
FBgn0003285,9
FBgn0025644,9
FBgn0029639,9
FBgn0040354,9
FBgn0040353,9
FBgn0040352,9
FBgn0029664,1
FBgn0029666,5
FBgn0029669,5
FBgn0052792,5
FBgn0044046,5
FBgn0023215,3
FBgn0015286,5
FBgn0023216,5
FBgn0029672,1
FBgn0052791,5
FBgn0029667,5
FBgn0029665,1
FBgn0029663,5
FBgn0052785,9
FBgn0025118,9
FBgn0028491,5
FBgn0029681,9
FBgn0029686,5
FBgn0052786,5
FBgn0052783,5
FBgn0029687,5
FBgn0029690,9
FBgn0029689,5
FBgn0029688,5
FBgn0029685,5
FBgn0019661,5
FBgn0029694,5
FBgn0000221,1
FBgn0026084,3
FBgn0026085,1
FBgn0026083,5
FBgn0066114,1
FBgn0029697,9
FBgn0029701,9
FBgn0029702,9
FBgn0029706,5
FBgn0029707,6
FBgn0029705,5
FBgn0040907,1
FBgn0002707,5
FBgn0040906,5
FBgn0029703,9
FBgn0040905,9
FBgn0040904,9
FBgn0029700,9
FBgn0052774,5
FBgn0041252,9
FBgn0029696,9
FBgn0000635,9
FBgn0026080,1
FBgn0026079,1
FBgn0004832,1
FBgn0029693,5
FBgn0000179,6
FBgn0029708,5
FBgn0029709,1
FBgn0029710,5
FBgn0029712,1
FBgn0029714,1
FBgn0029716,6
FBgn0022768,5
FBgn0029715,1
FBgn0029713,1
FBgn0029711,5
FBgn0003210,5
FBgn0052773,6
FBgn0011760,5
FBgn0028325,5
FBgn0029722,5
FBgn0029727,9
FBgn0029729,9
FBgn0029730,9
FBgn0029733,9
FBgn0052772,5
FBgn0004368,5
FBgn0029740,9
FBgn0061196,5
FBgn0029728,9
FBgn0029726,9
FBgn0029725,7
FBgn0025679,9
FBgn0029724,9
FBgn0029745,8
FBgn0029746,9
FBgn0003449,1
FBgn0011761,5
FBgn0029753,5
FBgn0029755,1
FBgn0014024,5
FBgn0029754,8
FBgn0029752,5
FBgn0029751,5
FBgn0029750,5
FBgn0029747,9
FBgn0052767,5
FBgn0026751,5
FBgn0010014,5
FBgn0029761,9
FBgn0029763,5
FBgn0029765,5
FBgn0029766,1
FBgn0029768,9
FBgn0029770,9
FBgn0029771,1
FBgn0026702,5
FBgn0004687,1
FBgn0029778,1
FBgn0052762,9
FBgn0029769,9
FBgn0029762,5
FBgn0029756,5
FBgn0028474,1
FBgn0029785,1
FBgn0003747,5
FBgn0000394,1
FBgn0029791,5
FBgn0029795,3
FBgn0029798,5
FBgn0029799,5
FBgn0029801,1
FBgn0029809,5
FBgn0029810,5
FBgn0029811,8
FBgn0029812,8
FBgn0029814,9
FBgn0052761,9
FBgn0029816,9
FBgn0029817,5
FBgn0029820,5
FBgn0029821,5
FBgn0029822,5
FBgn0029823,1
FBgn0029819,5
FBgn0014340,5
FBgn0029818,5
FBgn0029813,5
FBgn0029807,5
FBgn0029804,5
FBgn0013987,1
FBgn0029800,1
FBgn0261383,5
FBgn0052758,3
FBgn0053080,5
FBgn0027564,5
FBgn0029789,5
FBgn0046687,1
FBgn0015794,1
FBgn0029783,1
FBgn0029824,3
FBgn0029825,5
FBgn0052756,5
FBgn0029826,5
FBgn0052755,8
FBgn0029827,8
FBgn0029828,9
FBgn0029830,9
FBgn0029831,9
FBgn0029833,1
FBgn0029834,5
FBgn0029835,9
FBgn0029843,9
FBgn0029849,5
FBgn0003514,1
FBgn0029848,9
FBgn0040069,9
FBgn0052751,9
FBgn0052750,9
FBgn0026060,5
FBgn0029840,5
FBgn0029839,5
FBgn0029838,5
FBgn0029837,9
FBgn0003302,1
FBgn0029003,6
FBgn0027546,6
FBgn0005390,9
FBgn0029851,5
FBgn0015818,1
FBgn0029853,1
FBgn0028982,5
FBgn0029857,1
FBgn0029858,5
FBgn0029861,5
FBgn0029863,9
FBgn0029864,9
FBgn0029866,3
FBgn0029867,1
FBgn0052748,8
FBgn0029873,1
FBgn0014031,5
FBgn0000524,5
FBgn0014026,1
FBgn0029874,1
FBgn0003139,1
