,alpha,cg26
0,-100.26227512112419,-349.28753657915075
1,-95.25155505669531,-349.38882710790267
2,-94.51151321215497,-349.40378687990534
3,-99.60828845185868,-349.3007567660051
4,-93.01402415807517,-349.4340582692739
5,-97.48056126598954,-349.3437682711232
6,-92.92905058602032,-349.4357759900672
7,-96.91636655611804,-349.35517333461644
8,-94.23992766397713,-349.40927691794815
9,-96.76259856844727,-349.358281718357
10,-96.37679784502224,-349.3660805893307
11,-91.1386762332022,-349.4719679869317
12,-97.92391690833652,-349.3348059409869
13,-94.16980996606317,-349.41069433073625
14,-94.0238032448015,-349.4136458222997
15,-99.33262262431354,-349.30632928593667
16,-98.02697432005453,-349.33272265962404
17,-95.071006223054,-349.3924768601518
18,-96.06637896883068,-349.37235563397513
19,-93.35183340104267,-349.42722953480114
20,-94.137290762507,-349.41135169879516
21,-95.25582795296093,-349.38874073230875
22,-99.3828903215545,-349.30531313624823
23,-96.88565752161891,-349.35579411053334
24,-93.70374626102486,-349.42011569902417
25,-96.92951348374085,-349.35490757256366
26,-93.40652566674869,-349.4261239435007
27,-96.95631087289223,-349.35436586963846
28,-90.64445557179506,-349.4819585414769
29,-95.67374404449491,-349.38029265671446
30,-93.0073041089573,-349.4341941134878
31,-93.51074135841839,-349.4240172477808
32,-90.52817107262527,-349.4843092053048
33,-99.25212281937111,-349.3079565705789
34,-94.23412146376268,-349.4093942889212
35,-102.71481447635831,-349.23795907234876
36,-98.3810533917284,-349.3255650343867
37,-99.46416804440852,-349.3036701261782
38,-97.34642600886743,-349.34647978382867
39,-99.62569828409173,-349.3004048303372
40,-96.63951186736,-349.3607698870983
41,-99.2821645453653,-349.3073492841467
42,-95.02130095712491,-349.3934816404236
43,-99.15415265238842,-349.30993701448483
44,-95.26650525431425,-349.38852489317077
45,-96.99416118234615,-349.35360073452637
46,-96.69839407713137,-349.3595795970629
47,-96.16258873020118,-349.370410776255
48,-93.81783413364987,-349.4178094394862
49,-93.68684974970577,-349.4204572580305
50,-91.79122227743686,-349.4587769219738
51,-97.1206181868633,-349.35104443589324
52,-96.30198569581934,-349.36759289934867
53,-97.2115174182952,-349.3492069292881
54,-99.63015472033631,-349.3003147445255
55,-91.72696030014376,-349.46007596274546
56,-99.20920675456902,-349.30882410874506
57,-100.41786172572697,-349.2843914324962
58,-94.80855230164886,-349.39778230450526
59,-94.99103469266318,-349.3940934658482
60,-98.92864209182171,-349.31449565747926
61,-98.97616507632455,-349.3135349915138
62,-94.29464131165449,-349.40817089441634
63,-100.31745373555417,-349.28642115642526
64,-94.37740844982446,-349.4064977761656
65,-98.03101796508048,-349.3326409182899
66,-99.2024781603231,-349.30896012569673
67,-100.58968040910759,-349.2809181581832
68,-94.69169868233253,-349.4001444729631
69,-96.39067700485315,-349.3658000253761
70,-97.52232458972065,-349.3429240353471
71,-94.59023412852254,-349.4021955550775
72,-101.97208650806066,-349.2529731437117
73,-95.66753903282564,-349.3804180895674
74,-98.9049469067951,-349.314974650077
75,-96.89486673656218,-349.3556079484169
76,-93.11925680431328,-349.43193101605635
77,-96.1888176952148,-349.3698805638901
78,-97.07725954358713,-349.3519209206793
79,-93.89166354439958,-349.4163169952951
80,-93.82844420280587,-349.417594959431
