,condition,Genotype,target.gene,bio.rep,Tech. rep,Cq,SQ,Rep1-2,QC
,CG13326,HP1C,CG13326,1,1,35.04,,,1
,CG13326,HP1C,CG13326,1,2,35.85,,-0.81,1
,CG13326,HP1C,CG13326,2,1,34.37,,,1
,CG13326,HP1C,CG13326,2,2,34.23,,0.14,1
,CG13326,HP1C,CG13326,3,1,35.54,,,1
,CG13326,HP1C,CG13326,3,2,35.15,,0.39,1
,CG13326,HP1C,CG13326,4,1,34.54,,,1
,CG13326,HP1C,CG13326,4,2,34.13,,0.41,1
,Baseline,HP1C,CG13326,1,1,35.70,,,1
,Baseline,HP1C,CG13326,1,2,35.75,,-0.05,1
,Baseline,HP1C,CG13326,2,1,33.48,,,1
,Baseline,HP1C,CG13326,2,2,33.68,,-0.20,1
,Baseline,HP1C,CG13326,3,1,33.78,,,1
,Baseline,HP1C,CG13326,3,2,33.12,,0.66,1
,CG13326,HP1C,RpL32,1,1,27.10,,,1
,CG13326,HP1C,RpL32,1,2,27.56,,-0.46,1
,CG13326,HP1C,RpL32,2,1,30.02,,,1
,CG13326,HP1C,RpL32,2,2,29.99,,0.03,1
,CG13326,HP1C,RpL32,3,1,28.43,,,1
,CG13326,HP1C,RpL32,3,2,28.60,,-0.17,1
,CG13326,HP1C,RpL32,4,1,27.65,,,1
,CG13326,HP1C,RpL32,4,2,27.57,,0.08,1
,Baseline,HP1C,RpL32,1,1,18.44,,,1
,Baseline,HP1C,RpL32,1,2,17.93,,0.51,1
,Baseline,HP1C,RpL32,2,1,18.11,,,1
,Baseline,HP1C,RpL32,2,2,18.09,,0.02,1
,Baseline,HP1C,RpL32,3,1,24.22,,,1
,Baseline,HP1C,RpL32,3,2,24.43,,-0.21,1
,CG13326,GFP,CG13326,1,1,33.31,,,1
,CG13326,GFP,CG13326,1,2,33.92,,-0.61,1
,CG13326,GFP,CG13326,2,1,33.07,,,1
,CG13326,GFP,CG13326,2,2,33.63,,-0.56,1
,CG13326,GFP,CG13326,3,1,36.89,,,1
,CG13326,GFP,CG13326,3,2,36.95,,-0.06,1
,CG13326,GFP,CG13326,4,1,35.19,,,1
,CG13326,GFP,CG13326,4,2,34.34,,0.85,1
,Baseline,GFP,CG13326,1,1,20.26,,,1
,Baseline,GFP,CG13326,1,2,19.71,,0.55,1
,Baseline,GFP,CG13326,2,1,17.44,,,1
,Baseline,GFP,CG13326,2,2,17.37,,0.08,1
,Baseline,GFP,CG13326,3,1,28.47,,,1
,Baseline,GFP,CG13326,3,2,28.45,,0.02,1
,CG13326,GFP,RpL32,1,1,31.59,,,1
,CG13326,GFP,RpL32,1,2,31.18,,0.41,1
,CG13326,GFP,RpL32,2,1,28.19,,,1
,CG13326,GFP,RpL32,2,2,28.38,,-0.19,1
,CG13326,GFP,RpL32,3,1,28.55,,,1
,CG13326,GFP,RpL32,3,2,28.37,,0.18,1
,CG13326,GFP,RpL32,4,1,26.91,,,1
,CG13326,GFP,RpL32,4,2,26.83,,0.08,1
,Baseline,GFP,RpL32,1,1,17.66,,,1
,Baseline,GFP,RpL32,1,2,17.18,,0.48,1
,Baseline,GFP,RpL32,2,1,17.18,,,1
,Baseline,GFP,RpL32,2,2,17.79,,-0.61,1
,Baseline,GFP,RpL32,3,1,18.21,,,1
,Baseline,GFP,RpL32,3,2,17.97,,0.24,1
