,condition,Genotype,target.gene,bio.rep,Tech. rep,Cq,SQ,Rep1-2,QC,
,CG13676,HP1B,CG13676,1,1,27.73,,,1,
,CG13676,HP1B,CG13676,1,2,27.07,,0.65,1,
,CG13676,HP1B,CG13676,2,1,27.43,,,1,
,CG13676,HP1B,CG13676,2,2,27.12,,0.31,1,
,CG13676,HP1B,CG13676,3,1,27.47,,,1,
,CG13676,HP1B,CG13676,3,2,27.74,,-0.27,1,
,CG13676,HP1B,CG13676,4,1,27.27,,,1,
,CG13676,HP1B,CG13676,4,2,27.51,,-0.24,1,
,Baseline,HP1B,CG13676,1,1,26.74,,,1,
,Baseline,HP1B,CG13676,1,2,26.43,,0.31,1,
,Baseline,HP1B,CG13676,2,1,26.48,,,1,
,Baseline,HP1B,CG13676,2,2,27.18,,-0.70,1,
,Baseline,HP1B,CG13676,3,1,22.55,,,1,
,Baseline,HP1B,CG13676,3,2,22.73,,-0.17,1,
,CG13676,HP1B,RpL32,1,1,27.03,,,1,
,CG13676,HP1B,RpL32,1,2,26.92,,0.11,1,
,CG13676,HP1B,RpL32,2,1,27.31,,,1,
,CG13676,HP1B,RpL32,2,2,27.21,,0.10,1,
,CG13676,HP1B,RpL32,3,1,27.27,,,1,
,CG13676,HP1B,RpL32,3,2,27.44,,-0.17,1,
,CG13676,HP1B,RpL32,4,1,27.68,,,1,
,CG13676,HP1B,RpL32,4,2,27.48,,0.20,1,
,Baseline,HP1B,RpL32,1,1,18.16,,,1,
,Baseline,HP1B,RpL32,1,2,18.08,,0.07,1,
,Baseline,HP1B,RpL32,2,1,17.21,,,1,
,Baseline,HP1B,RpL32,2,2,17.13,,0.09,1,
,Baseline,HP1B,RpL32,3,1,17.51,,,1,
,Baseline,HP1B,RpL32,3,2,17.85,,-0.34,1,
,CG13683,GFP,CG13676,1,1,27.00,,,1,
,CG13676,GFP,CG13676,1,2,26.71,,0.29,1,
,CG13676,GFP,CG13676,2,1,27.00,,,1,
,CG13676,GFP,CG13676,2,2,26.94,,0.07,1,
,CG13676,GFP,CG13676,3,1,27.01,,,1,
,CG13676,GFP,CG13676,3,2,27.04,,-0.03,1,
,Baseline,GFP,CG13676,1,1,25.75,,,1,
,Baseline,GFP,CG13676,1,2,25.21,,0.54,1,
,Baseline,GFP,CG13676,2,1,26.59,,,1,
,Baseline,GFP,CG13676,2,2,25.86,,0.73,1,
,Baseline,GFP,CG13676,3,1,25.71,,,1,
,Baseline,GFP,CG13676,3,2,26.36,,-0.65,1,
,CG13676,GFP,RpL32,1,1,26.25,,,1,
,CG13676,GFP,RpL32,1,2,26.11,,0.13,1,
,CG13676,GFP,RpL32,2,1,27.34,,,1,
,CG13676,GFP,RpL32,2,2,27.23,,0.11,1,
,CG13676,GFP,RpL32,3,1,24.66,,,1,
,CG13676,GFP,RpL32,3,2,24.55,,0.11,1,
,Baseline,GFP,RpL32,1,1,19.96,,,1,
,Baseline,GFP,RpL32,1,2,19.62,,0.34,1,
,Baseline,GFP,RpL32,2,1,18.15,,,1,
,Baseline,GFP,RpL32,2,2,18.11,,0.03,1,
,Baseline,GFP,RpL32,3,1,27.51,,,1,
,Baseline,GFP,RpL32,3,2,27.75,,-0.24,1,
,,,,,,,,,,
,,,,,,,,,,
