,condition,Genotype,target.gene,bio.rep,Tech. rep,Cq,SQ,Rep1-2,QC,
,AlphaTubulin84b,HP1C,AlphaTubulin84b,1,1,32.21,,,1,
,AlphaTubulin84b,HP1C,AlphaTubulin84b,1,2,31.60,,0.61,1,
,AlphaTubulin84b,HP1C,AlphaTubulin84b,2,1,35.26,,,1,
,AlphaTubulin84b,HP1C,AlphaTubulin84b,2,2,34.90,,0.37,1,
,AlphaTubulin84b,HP1C,AlphaTubulin84b,3,1,35.89,,,1,
,AlphaTubulin84b,HP1C,AlphaTubulin84b,3,2,35.74,,0.15,1,
,AlphaTubulin84b,HP1C,AlphaTubulin84b,4,1,32.10,,,1,
,AlphaTubulin84b,HP1C,AlphaTubulin84b,4,2,32.59,,-0.49,1,
,Baseline,HP1C,AlphaTubulin84b,1,1,24.84,,,1,
,Baseline,HP1C,AlphaTubulin84b,1,2,24.64,,0.20,1,
,Baseline,HP1C,AlphaTubulin84b,2,1,25.60,,,1,
,Baseline,HP1C,AlphaTubulin84b,2,2,25.41,,0.19,1,
,Baseline,HP1C,AlphaTubulin84b,3,1,31.97,,,1,
,Baseline,HP1C,AlphaTubulin84b,3,2,31.60,,0.37,1,
,AlphaTubulin84b,HP1C,RpL32,1,1,25.88,,,1,
,AlphaTubulin84b,HP1C,RpL32,1,2,26.07,,-0.19,1,
,AlphaTubulin84b,HP1C,RpL32,2,1,28.73,,,1,
,AlphaTubulin84b,HP1C,RpL32,2,2,28.59,,0.14,1,
,AlphaTubulin84b,HP1C,RpL32,3,1,28.67,,,1,
,AlphaTubulin84b,HP1C,RpL32,3,2,28.57,,0.11,1,
,AlphaTubulin84b,HP1C,RpL32,4,1,28.40,,,1,
,AlphaTubulin84b,HP1C,RpL32,4,2,28.44,,-0.04,1,
,Baseline,HP1C,RpL32,1,1,18.00,,,1,
,Baseline,HP1C,RpL32,1,2,17.61,,0.40,1,
,Baseline,HP1C,RpL32,2,1,18.57,,,1,
,Baseline,HP1C,RpL32,2,2,18.33,,0.24,1,
,Baseline,HP1C,RpL32,3,1,24.00,,,1,
,Baseline,HP1C,RpL32,3,2,24.24,,-0.24,1,
,AlphaTubulin84b,GFP,AlphaTubulin84b,1,1,32.77,,,1,
,AlphaTubulin84b,GFP,AlphaTubulin84b,1,2,32.23,,0.54,1,
,AlphaTubulin84b,GFP,AlphaTubulin84b,2,1,33.03,,,1,
,AlphaTubulin84b,GFP,AlphaTubulin84b,2,2,33.04,,-0.01,1,
,AlphaTubulin84b,GFP,AlphaTubulin84b,3,1,33.08,,,1,
,AlphaTubulin84b,GFP,AlphaTubulin84b,3,2,33.54,,-0.46,1,
,Baseline,GFP,AlphaTubulin84b,1,1,26.88,,,1,
,Baseline,GFP,AlphaTubulin84b,1,2,26.38,,0.50,1,
,Baseline,GFP,AlphaTubulin84b,2,1,25.95,,,1,
,Baseline,GFP,AlphaTubulin84b,2,2,26.08,,-0.13,1,
,Baseline,GFP,AlphaTubulin84b,3,1,30.22,,,1,
,Baseline,GFP,AlphaTubulin84b,3,2,30.42,,-0.20,1,
,AlphaTubulin84b,GFP,RpL32,1,1,27.90,,,1,
,AlphaTubulin84b,GFP,RpL32,1,2,27.68,,0.22,1,
,AlphaTubulin84b,GFP,RpL32,2,1,27.54,,,1,
,AlphaTubulin84b,GFP,RpL32,2,2,27.44,,0.10,1,
,AlphaTubulin84b,GFP,RpL32,3,1,28.15,,,1,
,AlphaTubulin84b,GFP,RpL32,3,2,28.29,,-0.15,1,
,Baseline,GFP,RpL32,1,1,19.09,,,1,
,Baseline,GFP,RpL32,1,2,19.14,,-0.05,1,
,Baseline,GFP,RpL32,2,1,19.26,,,1,
,Baseline,GFP,RpL32,2,2,19.13,,0.13,1,
,Baseline,GFP,RpL32,3,1,27.42,,,1,
,Baseline,GFP,RpL32,3,2,27.34,,0.08,1,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
