,condition,Genotype,target.gene,bio.rep,Tech. rep,Cq,SQ,Rep1-2,QC
,egr,HP1a,egr,1,1,32.47,,,1
,egr,HP1a,egr,1,2,32.04,,0.43,1
,egr,HP1a,egr,2,1,31.76,,,1
,egr,HP1a,egr,2,2,32.00,,-0.24,1
,egr,HP1a,egr,3,1,32.47,,,1
,egr,HP1a,egr,3,2,32.33,,0.15,1
,egr,HP1a,egr,4,1,31.97,,,1
,egr,HP1a,egr,4,2,32.51,,-0.54,1
,Baseline,HP1a,egr,1,1,31.76,,,1
,Baseline,HP1a,egr,1,2,31.04,,0.72,1
,Baseline,HP1a,egr,2,1,30.53,,,1
,Baseline,HP1a,egr,2,2,30.18,,0.35,1
,Baseline,HP1a,egr,3,1,27.00,,,1
,Baseline,HP1a,egr,3,2,27.03,,-0.03,1
,egr,HP1a,RpL32,1,1,29.29,,,1
,egr,HP1a,RpL32,1,2,28.80,,0.49,1
,egr,HP1a,RpL32,2,1,27.09,,,1
,egr,HP1a,RpL32,2,2,27.30,,-0.21,1
,egr,HP1a,RpL32,3,1,28.36,,,1
,egr,HP1a,RpL32,3,2,28.50,,-0.13,1
,egr,HP1a,RpL32,4,1,24.84,,,1
,egr,HP1a,RpL32,4,2,24.88,,-0.04,1
,Baseline,HP1a,RpL32,1,1,25.89,,,1
,Baseline,HP1a,RpL32,1,2,26.25,,-0.36,1
,Baseline,HP1a,RpL32,2,1,21.31,,,1
,Baseline,HP1a,RpL32,2,2,21.33,,-0.02,1
,Baseline,HP1a,RpL32,3,1,19.94,,,1
,Baseline,HP1a,RpL32,3,2,19.94,,0.00,1
,egr,GFP,egr,1,1,31.72,,,1
,egr,GFP,egr,1,2,31.74,,-0.02,1
,egr,GFP,egr,2,1,31.59,,,1
,egr,GFP,egr,2,2,31.16,,0.43,1
,egr,GFP,egr,3,1,28.73,,,1
,egr,GFP,egr,3,2,29.45,,-0.73,1
,Baseline,GFP,egr,1,1,26.85,,,1
,Baseline,GFP,egr,1,2,26.52,,0.33,1
,Baseline,GFP,egr,2,1,26.37,,,1
,Baseline,GFP,egr,2,2,26.56,,-0.20,1
,Baseline,GFP,egr,3,1,31.53,,,1
,Baseline,GFP,egr,3,2,31.71,,-0.18,1
,egr,GFP,RpL32,1,1,28.89,,,1
,egr,GFP,RpL32,1,2,28.83,,0.06,1
,egr,GFP,RpL32,2,1,24.80,,,1
,egr,GFP,RpL32,2,2,24.64,,0.15,1
,egr,GFP,RpL32,3,1,21.43,,,1
,egr,GFP,RpL32,3,2,21.59,,-0.16,1
,Baseline,GFP,RpL32,1,1,19.83,,,1
,Baseline,GFP,RpL32,1,2,18.92,,0.91,1
,Baseline,GFP,RpL32,2,1,16.79,,,1
,Baseline,GFP,RpL32,2,2,16.54,,0.25,1
,Baseline,GFP,RpL32,3,1,27.76,,,1
,Baseline,GFP,RpL32,3,2,27.98,,-0.22,1
,,,,,,,,,
,,,,,,,,,
