,condition,Genotype,target.gene,bio.rep,Tech. rep,Cq,SQ,Rep1-2,QC
,mtk,HP1a,mtk,1,1,26.91,,,1
,mtk,HP1a,mtk,1,2,26.70,,0.21,1
,mtk,HP1a,mtk,2,1,23.84,,,1
,mtk,HP1a,mtk,2,2,24.49,,-0.65,1
,mtk,HP1a,mtk,3,1,28.22,,,1
,mtk,HP1a,mtk,3,2,28.01,,0.21,1
,mtk,HP1a,mtk,4,1,26.60,,,1
,mtk,HP1a,mtk,4,2,26.57,,0.02,1
,Baseline,HP1a,mtk,1,1,21.62,,,1
,Baseline,HP1a,mtk,1,2,22.25,,-0.63,1
,Baseline,HP1a,mtk,2,1,26.96,,,1
,Baseline,HP1a,mtk,2,2,27.24,,-0.28,1
,Baseline,HP1a,mtk,3,1,27.05,,,1
,Baseline,HP1a,mtk,3,2,23.55,,3.50,1
,mtk,HP1a,RpL32,1,1,24.95,,,1
,mtk,HP1a,RpL32,1,2,24.32,,0.63,1
,mtk,HP1a,RpL32,2,1,23.72,,,1
,mtk,HP1a,RpL32,2,2,23.48,,0.24,1
,mtk,HP1a,RpL32,3,1,25.72,,,1
,mtk,HP1a,RpL32,3,2,25.52,,0.19,1
,mtk,HP1a,RpL32,4,1,25.24,,,1
,mtk,HP1a,RpL32,4,2,25.26,,-0.02,1
,Baseline,HP1a,RpL32,1,1,19.5,,,1
,Baseline,HP1a,RpL32,1,2,19.72,,-0.22,1
,Baseline,HP1a,RpL32,2,1,20.30,,,1
,Baseline,HP1a,RpL32,2,2,20.47,,-0.18,1
,Baseline,HP1a,RpL32,3,1,19.20,,,1
,Baseline,HP1a,RpL32,3,2,19.81,,-0.62,1
,mtk,GFP,mtk,1,1,26.57,,,1
,mtk,GFP,mtk,1,2,27.06,,-0.49,1
,mtk,GFP,mtk,2,1,27.34,,,1
,mtk,GFP,mtk,2,2,27.09,,0.25,1
,mtk,GFP,mtk,3,1,24.82,,,0
,mtk,GFP,mtk,3,2,24.71,,0.11,0
,Baseline,GFP,mtk,1,1,27.77,,,1
,Baseline,GFP,mtk,1,2,27.32,,0.44,1
,Baseline,GFP,mtk,2,1,23.44,,,1
,Baseline,GFP,mtk,2,2,24.02,,-0.58,1
,Baseline,GFP,mtk,3,1,24.11,,,1
,Baseline,GFP,mtk,3,2,23.38,,0.73,1
,mtk,GFP,RpL32,1,1,25.94,,,1
,mtk,GFP,RpL32,1,2,25.86,,0.08,1
,mtk,GFP,RpL32,2,1,26.00,,,1
,mtk,GFP,RpL32,2,2,25.78,,0.22,1
,mtk,GFP,RpL32,3,1,22.88,,,1
,mtk,GFP,RpL32,3,2,22.85,,0.03,1
,Baseline,GFP,RpL32,1,1,19.23,,,1
,Baseline,GFP,RpL32,1,2,18.40,,0.83,1
,Baseline,GFP,RpL32,2,1,17,,,0
,Baseline,GFP,RpL32,2,2,17.22,,-0.22,0
,Baseline,GFP,RpL32,3,1,26.49,,,0
,Baseline,GFP,RpL32,3,2,26.39,,0.10,0
,mtk,HP1B,mtk,1,1,27.36,,,1
,mtk,HP1B,mtk,1,2,28.20,,-0.84,1
,mtk,HP1B,mtk,2,1,28.42,,,1
,mtk,HP1B,mtk,2,2,28.19,,0.23,1
,mtk,HP1B,mtk,3,1,24.41,,,1
,mtk,HP1B,mtk,3,2,23.73,,0.68,1
,mtk,HP1B,mtk,4,1,27.79,,,1
,mtk,HP1B,mtk,4,2,28.07,,-0.28,1
,Baseline,HP1B,mtk,1,1,27.54,,,1
,Baseline,HP1B,mtk,1,2,27.55,,-0.02,1
,Baseline,HP1B,mtk,2,1,27.57,,,1
,Baseline,HP1B,mtk,2,2,27.47,,0.09,1
,Baseline,HP1B,mtk,3,1,23.31,,,1
,Baseline,HP1B,mtk,3,2,23.29,,0.02,1
,mtk,HP1B,RpL32,1,1,27.85,,,1
,mtk,HP1B,RpL32,1,2,28.60,,-0.74,1
,mtk,HP1B,RpL32,2,1,26.65,,,1
,mtk,HP1B,RpL32,2,2,26.74,,-0.09,1
,mtk,HP1B,RpL32,3,1,27.52,,,1
,mtk,HP1B,RpL32,3,2,27.56,,-0.05,1
,mtk,HP1B,RpL32,4,1,27.35,,,1
,mtk,HP1B,RpL32,4,2,27.65,,-0.30,1
,Baseline,HP1B,RpL32,1,1,19.13,,,1
,Baseline,HP1B,RpL32,1,2,19.07,,0.06,1
,Baseline,HP1B,RpL32,2,1,17.33,,,1
,Baseline,HP1B,RpL32,2,2,17.75,,-0.42,1
,Baseline,HP1B,RpL32,3,1,17.04,,,1
,Baseline,HP1B,RpL32,3,2,17.14,,-0.10,1
,mtk,GFP,mtk,1,1,27.91,,,1
