,condition,Genotype,target.gene,bio.rep,Tech. rep,Cq,SQ,Rep1-2,QC
,pyr,HP1a,pyr,1,1,26.51,,,1
,pyr,HP1a,pyr,1,2,26.10,,0.41,1
,pyr,HP1a,pyr,2,1,26.74,,,1
,pyr,HP1a,pyr,2,2,26.61,,0.12,1
,pyr,HP1a,pyr,3,1,27.29,,,1
,pyr,HP1a,pyr,3,2,27.34,,-0.05,1
,pyr,HP1a,pyr,4,1,26.61,,,1
,pyr,HP1a,pyr,4,2,26.93,,-0.32,1
,Baseline,HP1a,pyr,1,1,27.26,,,1
,Baseline,HP1a,pyr,1,2,27.01,,0.25,1
,Baseline,HP1a,pyr,2,1,26.64,,,1
,Baseline,HP1a,pyr,2,2,26.51,,0.13,1
,Baseline,HP1a,pyr,3,1,26.23,,,1
,Baseline,HP1a,pyr,3,2,26.14,,0.09,1
,pyr,HP1a,RpL32,1,1,25.01,,,1
,pyr,HP1a,RpL32,1,2,24.32,,0.69,1
,pyr,HP1a,RpL32,2,1,23.63,,,1
,pyr,HP1a,RpL32,2,2,24.49,,-0.86,1
,pyr,HP1a,RpL32,3,1,25.07,,,1
,pyr,HP1a,RpL32,3,2,24.93,,0.14,1
,pyr,HP1a,RpL32,4,1,25.66,,,1
,pyr,HP1a,RpL32,4,2,26.07,,-0.41,1
,Baseline,HP1a,RpL32,1,1,25.84,,,1
,Baseline,HP1a,RpL32,1,2,25.09,,0.75,1
,Baseline,HP1a,RpL32,2,1,21.36,,,1
,Baseline,HP1a,RpL32,2,2,21.56,,-0.20,1
,Baseline,HP1a,RpL32,3,1,20.03,,,1
,Baseline,HP1a,RpL32,3,2,19.96,,0.07,1
,pyr,GFP,pyr,1,1,26.32,,,1
,pyr,GFP,pyr,1,2,26.23,,0.10,1
,pyr,GFP,pyr,2,1,26.47,,,1
,pyr,GFP,pyr,2,2,26.18,,0.29,1
,pyr,GFP,pyr,3,1,26.02,,,1
,pyr,GFP,pyr,3,2,26.13,,-0.10,1
,Baseline,GFP,pyr,1,1,26.05,,,1
,Baseline,GFP,pyr,1,2,25.83,,0.22,1
,Baseline,GFP,pyr,2,1,26.28,,,1
,Baseline,GFP,pyr,2,2,26.15,,0.13,1
,Baseline,GFP,pyr,3,1,26.43,,,1
,Baseline,GFP,pyr,3,2,26.26,,0.16,1
,pyr,GFP,RpL32,1,1,28.23,,,1
,pyr,GFP,RpL32,1,2,27.91,,0.32,1
,pyr,GFP,RpL32,2,1,25.57,,,1
,pyr,GFP,RpL32,2,2,25.47,,0.10,1
,pyr,GFP,RpL32,3,1,26.23,,,1
,pyr,GFP,RpL32,3,2,26.73,,-0.50,1
,Baseline,GFP,RpL32,1,1,19.94,,,1
,Baseline,GFP,RpL32,1,2,19.29,,0.64,1
,Baseline,GFP,RpL32,2,1,16.64,,,1
,Baseline,GFP,RpL32,2,2,17.04,,-0.39,1
,Baseline,GFP,RpL32,3,1,27.33,,,1
,Baseline,GFP,RpL32,3,2,27.22,,0.11,1
,,,,,,,,,
,,,,,,,,,
