FBgn,HP1a,HP1B,HP1C,Context,density
FBgn0052826,0,0,1,Eu,0.000117647058823529
FBgn0031085,0,0,0,Eu,0.000235294117647059
FBgn0062565,0,0,0,Eu,5.88235294117647e-05
FBgn0031088,0,0,0,Eu,0.000294117647058824
FBgn0041626,0,0,0,Eu,0.000294117647058824
FBgn0040784,0,0,0,Eu,0.000117647058823529
FBgn0031086,1,0,0,Eu,0.000411764705882353
FBgn0031082,0,0,0,Eu,0.000352941176470588
FBgn0031080,0,0,0,Eu,0.000470588235294118
FBgn0052821,1,0,0,Eu,0.000352941176470588
FBgn0053217,1,1,1,Het,5.88235294117647e-05
FBgn0052350,1,1,1,Het,0.000117647058823529
FBgn0024733,1,1,1,Het,0.000294117647058824
FBgn0040372,1,1,1,Eu,0.000294117647058824
FBgn0000316,0,1,1,Eu,0.000294117647058824
FBgn0024989,0,1,1,Eu,0.000294117647058824
FBgn0040371,0,0,0,Eu,0.000529411764705882
FBgn0029521,0,0,0,Eu,0.000411764705882353
FBgn0004034,0,0,0,Eu,0.000294117647058824
FBgn0000022,0,0,0,Eu,0.000235294117647059
FBgn0004170,0,0,0,Eu,0.000176470588235294
FBgn0002561,0,0,0,Eu,0.000117647058823529
FBgn0000137,0,0,0,Eu,5.88235294117647e-05
FBgn0029522,0,1,1,Eu,0.000176470588235294
FBgn0052817,1,1,1,Eu,0.000411764705882353
FBgn0029524,0,1,1,Eu,0.000176470588235294
FBgn0023536,0,1,1,Eu,0.000352941176470588
FBgn0023534,0,1,1,Eu,0.000117647058823529
FBgn0023535,1,1,1,Eu,0.000235294117647059
FBgn0023537,0,1,1,Eu,0.000117647058823529
FBgn0029525,0,1,1,Eu,5.88235294117647e-05
FBgn0029523,0,1,1,Eu,0.000176470588235294
FBgn0010019,0,0,0,Eu,0.000352941176470588
FBgn0011822,0,0,0,Eu,0.000470588235294118
FBgn0052816,1,1,1,Eu,0.000176470588235294
FBgn0040370,0,0,0,Eu,0.000176470588235294
FBgn0040373,1,1,1,Eu,0.000352941176470588
FBgn0000108,1,1,0,Eu,0.000117647058823529
FBgn0025640,0,1,1,Eu,5.88235294117647e-05
FBgn0025635,0,1,1,Eu,5.88235294117647e-05
FBgn0001341,0,1,1,Eu,5.88235294117647e-05
FBgn0003575,0,1,1,Eu,0.000117647058823529
FBgn0025634,1,1,1,Eu,0.000235294117647059
FBgn0025638,1,1,1,Eu,5.88235294117647e-05
FBgn0040383,1,1,1,Eu,5.88235294117647e-05
FBgn0040382,1,1,1,Eu,0.000294117647058824
FBgn0027343,0,1,1,Eu,0.000176470588235294
FBgn0025621,0,1,1,Eu,0.000235294117647059
FBgn0029535,0,0,0,Eu,0.000470588235294118
FBgn0026874,0,0,0,Eu,0.000117647058823529
FBgn0025616,0,1,1,Eu,0.000588235294117647
FBgn0015799,0,1,1,Eu,0.000294117647058824
FBgn0025620,0,0,0,Eu,0.000176470588235294
FBgn0015288,0,1,1,Eu,0.000352941176470588
FBgn0029532,0,0,0,Eu,5.88235294117647e-05
FBgn0029531,0,0,0,Eu,5.88235294117647e-05
FBgn0025639,0,1,1,Eu,5.88235294117647e-05
FBgn0002579,0,1,1,Eu,0
FBgn0026879,0,1,1,Eu,5.88235294117647e-05
FBgn0029529,0,1,1,Eu,5.88235294117647e-05
FBgn0025633,0,1,1,Eu,0.000117647058823529
FBgn0040892,0,0,0,Eu,0.000176470588235294
FBgn0040341,0,0,0,Eu,5.88235294117647e-05
FBgn0029539,0,0,0,Eu,0.000235294117647059
