Name,FlyBase_FBgn,Chromosome,Start,Stop,Strand,HP1a,HP1B,HP1C,FlyBase_FBtr,CME,S2,BG3,FlyBase_FBpp
CG11790,FBgn0039265,3R,25047706,25049455,+,0,1,1,FBtr0084760,66.7983606666667,40.917017,25.3446975,FBpp0084135
CG11790,FBgn0039265,3R,25047706,25049455,+,0,1,1,FBtr0084761,1.184997,0,0,FBpp0084136
CG11790,FBgn0039265,3R,25047706,25049455,+,0,1,1,FBtr0334503,0,0.778336,0,FBpp0306570
CG8184,FBgn0030674,X,15712628,15731935,+,0,1,1,FBtr0074082,17.2564653333333,17.4317045,3.8066385,FBpp0073898
CG8184,FBgn0030674,X,15712628,15731935,+,0,1,1,FBtr0340304,6.285454,1.1108125,10.001972,FBpp0309265
CG8184,FBgn0030674,X,15712628,15731935,+,0,1,1,FBtr0339686,0,1.9427035,4.4197325,FBpp0308743
CG8184,FBgn0030674,X,15712628,15731935,+,0,1,1,FBtr0339687,2.44011333333333,4.3974975,0,FBpp0308744
CG8184,FBgn0030674,X,15712628,15731935,+,0,1,1,FBtr0339688,5.37665933333333,6.15776,2.379446,FBpp0308745
CG8184,FBgn0030674,X,15712628,15731935,+,0,1,1,FBtr0339689,0,0,0,FBpp0308746
CG8184,FBgn0030674,X,15712628,15731935,+,0,1,1,FBtr0339690,2.89585366666667,1.1193765,0,FBpp0308747
CG12081,FBgn0030053,X,8588811,8590774,+,0,0,0,FBtr0071218,52.2933253333333,21.538002,48.772771,FBpp0071164
CG12081,FBgn0030053,X,8588811,8590774,+,0,0,0,FBtr0332626,3.05274966666667,6.817833,0,FBpp0304872
CG13321,FBgn0033787,2R,12953112,12955712,+,0,1,0,FBtr0087792,48.1479926666667,2.023069,0.820643,FBpp0086905
CG13321,FBgn0033787,2R,12953112,12955712,+,0,1,0,FBtr0345371,0.323535333333333,0.3702465,0,FBpp0311525
CG13323,FBgn0033788,2R,13044695,13047256,-,0,0,0,FBtr0087797,0.397181333333333,0,0,FBpp0086910
CG13323,FBgn0033788,2R,13044695,13047256,-,0,0,0,FBtr0345360,0.0957376666666667,0,0,FBpp0311515
CG13324,FBgn0033789,2R,13049146,13049656,-,0,0,0,FBtr0087796,1.42516433333333,0,0,FBpp0086909
CG13325,FBgn0033792,2R,13110769,13126014,+,0,0,0,FBtr0087722,0,0,0,FBpp0086839
CG13325,FBgn0033792,2R,13110769,13126014,+,0,0,0,FBtr0339748,0,0,0,FBpp0308796
CG13325,FBgn0033792,2R,13110769,13126014,+,0,0,0,FBtr0345194,0.295176666666667,0,0,FBpp0311393
CG13325,FBgn0033792,2R,13110769,13126014,+,0,0,0,FBtr0345931,0,0,0,FBpp0311845
CG13326,FBgn0033794,2R,13129511,13132455,-,0,1,0,FBtr0087779,0.279023333333333,0,0,FBpp0086892
CG14247,FBgn0039454,3R,26737610,26738593,+,0,0,0,FBtr0085043,0.132789666666667,1.0746975,0.342889,FBpp0084415
mir-2500,FBgn0262189,3L,16998457,16998524,-,0,0,0,NA,NA,NA,NA,NA
mir-2501,FBgn0262442,3L,8111107,8111177,+,0,0,0,NA,NA,NA,NA,NA
CG11357,FBgn0035558,3L,4542051,4553457,+,1,1,1,FBtr0073310,14.323437,21.3126735,2.532522,FBpp0073166
CG11357,FBgn0035558,3L,4542051,4553457,+,1,1,1,FBtr0113142,0,14.122806,4.1110145,FBpp0112055
CG11357,FBgn0035558,3L,4542051,4553457,+,1,1,1,FBtr0113143,8.09600966666667,45.4970975,17.1173975,FBpp0112056
CG11357,FBgn0035558,3L,4542051,4553457,+,1,1,1,FBtr0304987,13.7011896666667,32.6455855,52.789101,FBpp0293524
CG11168,FBgn0039249,3R,24918106,24922385,+,0,0,1,FBtr0084715,2.99972433333333,1.5225885,0,FBpp0084091
CG11168,FBgn0039249,3R,24918106,24922385,+,0,0,1,FBtr0306089,2.28237333333333,2.4832805,4.503769,FBpp0297226
CG11168,FBgn0039249,3R,24918106,24922385,+,0,0,1,FBtr0337009,2.92522066666667,1.1498835,0,FBpp0307938
CG11168,FBgn0039249,3R,24918106,24922385,+,0,0,1,FBtr0337010,1.81667566666667,0.360763,1.4177955,FBpp0307939
CG14717,FBgn0265271,3R,11696509,11698327,+,0,1,0,FBtr0082425,0,0,0,FBpp0081901
CG14717,FBgn0265271,3R,11696509,11698327,+,0,1,0,FBtr0335209,0,0.380705,0,FBpp0307196
CG4101,FBgn0025558,3L,16612486,16612950,+,0,1,0,FBtr0075314,45.442055,59.0362355,61.8447995,FBpp0075074
Syt1,FBgn0004242,2L,2772327,2799979,-,1,1,0,FBtr0077726,0,0,0,FBpp0077410
Syt1,FBgn0004242,2L,2772327,2799979,-,1,1,0,FBtr0077727,0,0,0,FBpp0077411
Syt1,FBgn0004242,2L,2772327,2799979,-,1,1,0,FBtr0077728,0,0.040973,0,FBpp0077412
Syt1,FBgn0004242,2L,2772327,2799979,-,1,1,0,FBtr0343993,0,0,0,FBpp0310442
Syt1,FBgn0004242,2L,2772327,2799979,-,1,1,0,FBtr0332218,0,0,0,FBpp0304523
Syt1,FBgn0004242,2L,2772327,2799979,-,1,1,0,FBtr0332219,0,0,0,FBpp0304524
Syt1,FBgn0004242,2L,2772327,2799979,-,1,1,0,FBtr0332220,10.0360826666667,0.388041,2.606261,FBpp0304525
Syt1,FBgn0004242,2L,2772327,2799979,-,1,1,0,FBtr0345331,0,0,0,FBpp0311487
SPR,FBgn0029768,X,5446656,5494012,+,1,0,0,FBtr0070778,0,0,0,FBpp0070744
SPR,FBgn0029768,X,5446656,5494012,+,1,0,0,FBtr0344824,0.0406043333333333,0,0,FBpp0311140
SPR,FBgn0029768,X,5446656,5494012,+,1,0,0,FBtr0339781,0,0,0,FBpp0308828
snRNP-U1-70K,FBgn0016978,2L,6968711,6971737,-,0,1,1,FBtr0079355,89.5505836666667,61.4269115,109.923146,FBpp0078983
