FBgn,exon_num
FBgn0000003,1
FBgn0000008,38
FBgn0000014,24
FBgn0000015,66
FBgn0000017,89
FBgn0000018,2
FBgn0000022,1
FBgn0000024,31
FBgn0000028,105
FBgn0000032,11
FBgn0000036,30
FBgn0000037,10
FBgn0000038,9
FBgn0000039,15
FBgn0000042,10
FBgn0000043,2
FBgn0000044,2
FBgn0000045,5
FBgn0000046,5
FBgn0000047,3
FBgn0000052,11
FBgn0000053,18
FBgn0000055,22
FBgn0000056,14
FBgn0000057,4
FBgn0000061,5
FBgn0000063,8
FBgn0000064,40
FBgn0000071,6
FBgn0000075,5
FBgn0000077,2
FBgn0000078,1
FBgn0000079,2
FBgn0000083,30
FBgn0000084,9
FBgn0000092,3
FBgn0000094,4
FBgn0000097,21
FBgn0000100,7
FBgn0000108,71
FBgn0000109,9
FBgn0000114,100
FBgn0000115,3
FBgn0000116,18
FBgn0000117,41
FBgn0000119,7
FBgn0000120,12
FBgn0000121,3
FBgn0000137,1
FBgn0000139,17
FBgn0000140,6
FBgn0000146,17
FBgn0000147,3
FBgn0000150,6
FBgn0000152,8
FBgn0000153,9
FBgn0000157,18
FBgn0000158,3
FBgn0000163,35
FBgn0000166,18
FBgn0000173,11
FBgn0000179,56
FBgn0000180,10
FBgn0000181,3
FBgn0000182,28
FBgn0000183,32
FBgn0000206,6
FBgn0000212,36
FBgn0000216,1
FBgn0000221,1
FBgn0000227,2
FBgn0000228,44
FBgn0000229,19
FBgn0000233,2
FBgn0000239,20
FBgn0000241,18
FBgn0000244,5
FBgn0000246,27
FBgn0000247,30
FBgn0000250,33
FBgn0000251,7
FBgn0000253,22
FBgn0000256,72
FBgn0000257,8
FBgn0000259,70
FBgn0000261,3
FBgn0000273,9
FBgn0000274,10
FBgn0000276,2
FBgn0000277,2
FBgn0000278,2
FBgn0000279,2
FBgn0000280,2
FBgn0000281,2
FBgn0000283,9
FBgn0000286,24
FBgn0000287,21
FBgn0000289,124
FBgn0000299,27
FBgn0000303,16
FBgn0000307,7
FBgn0000308,24
FBgn0000316,14
FBgn0000317,48
FBgn0000318,11
FBgn0000319,50
FBgn0000320,14
FBgn0000326,4
FBgn0000330,12
FBgn0000337,3
FBgn0000339,14
FBgn0000346,13
FBgn0000351,12
FBgn0000352,8
FBgn0000355,2
FBgn0000356,2
FBgn0000357,2
FBgn0000358,2
FBgn0000359,2
FBgn0000360,4
FBgn0000370,19
FBgn0000376,13
FBgn0000377,2
FBgn0000382,39
FBgn0000384,12
FBgn0000392,12
FBgn0000394,13
FBgn0000395,7
FBgn0000404,14
FBgn0000405,19
FBgn0000406,6
FBgn0000411,6
FBgn0000412,10
FBgn0000414,77
FBgn0000416,13
FBgn0000422,9
FBgn0000426,1
FBgn0000427,27
FBgn0000439,5
FBgn0000442,5
FBgn0000447,4
FBgn0000448,57
FBgn0000449,4
FBgn0000451,36
FBgn0000454,18
FBgn0000455,2
FBgn0000459,4
FBgn0000463,18
FBgn0000464,127
FBgn0000473,2
FBgn0000477,2
FBgn0000479,225
FBgn0000482,5
FBgn0000489,17
FBgn0000490,12
FBgn0000492,2
FBgn0000499,1
FBgn0000500,1
FBgn0000504,27
FBgn0000520,3
FBgn0000524,4
FBgn0000527,7
FBgn0000529,8
FBgn0000533,6
FBgn0000535,109
FBgn0000536,47
FBgn0000541,109
FBgn0000542,16
FBgn0000543,2
FBgn0000546,40
FBgn0000547,28
FBgn0000551,4
FBgn0000552,2
FBgn0000557,20
FBgn0000559,15
FBgn0000560,8
FBgn0000562,16
FBgn0000564,8
FBgn0000565,23
FBgn0000566,2
FBgn0000567,32
FBgn0000568,43
FBgn0000575,2
FBgn0000576,2
FBgn0000577,6
FBgn0000578,72
FBgn0000579,20
FBgn0000581,54
FBgn0000588,4
FBgn0000591,1
FBgn0000592,4
FBgn0000594,2
FBgn0000606,2
FBgn0000611,20
FBgn0000615,16
FBgn0000617,2
FBgn0000618,1
FBgn0000625,16
FBgn0000629,23
FBgn0000633,25
FBgn0000635,63
FBgn0000636,45
FBgn0000639,5
FBgn0000640,6
FBgn0000644,3
FBgn0000658,1
FBgn0000659,5
FBgn0000662,19
FBgn0000667,91
FBgn0000709,4
FBgn0000711,21
FBgn0000715,2
FBgn0000719,18
FBgn0000721,107
FBgn0000723,73
FBgn0000808,21
FBgn0000810,2
FBgn0000826,1
FBgn0000927,2
FBgn0000928,4
FBgn0000964,2
FBgn0000996,6
FBgn0001075,9
FBgn0001077,2
FBgn0001078,34
FBgn0001079,4
FBgn0001083,42
FBgn0001084,6
FBgn0001085,10
FBgn0001086,3
FBgn0001087,39
FBgn0001089,12
FBgn0001090,8
FBgn0001091,2
FBgn0001092,4
FBgn0001098,22
FBgn0001099,9
FBgn0001104,5
FBgn0001105,18
FBgn0001108,4
FBgn0001112,8
FBgn0001114,5
FBgn0001120,2
FBgn0001122,76
FBgn0001123,44
FBgn0001124,9
FBgn0001125,10
FBgn0001128,40
FBgn0001133,5
FBgn0001134,6
FBgn0001137,4
FBgn0001138,27
FBgn0001139,131
FBgn0001142,5
FBgn0001145,29
FBgn0001147,5
FBgn0001148,2
FBgn0001149,4
FBgn0001150,2
FBgn0001168,6
FBgn0001169,23
FBgn0001170,3
FBgn0001174,1
FBgn0001179,7
FBgn0001180,4
FBgn0001185,6
FBgn0001186,3
FBgn0001187,1
FBgn0001189,8
FBgn0001197,9
FBgn0001202,7
FBgn0001206,5
FBgn0001208,20
FBgn0001215,36
FBgn0001216,9
FBgn0001217,2
FBgn0001218,14
FBgn0001220,12
FBgn0001222,32
FBgn0001223,4
FBgn0001224,2
FBgn0001225,2
FBgn0001226,2
FBgn0001227,1
FBgn0001228,13
FBgn0001229,1
FBgn0001230,1
FBgn0001233,4
FBgn0001234,10
FBgn0001235,48
FBgn0001247,14
FBgn0001248,23
FBgn0001250,47
FBgn0001253,18
FBgn0001254,1
FBgn0001255,1
FBgn0001256,5
